OpeningPrice,closingPrice,lowest,highest,volume,timeStamp
625000,634999,625000,634999,17989,1397/7/26 00:10:00
638000,640000,638000,641000,1220,1397/7/29 00:10:00
625100,632000,625100,633000,9600,1397/7/30 00:10:00
649700,635000,635000,649700,3345,1397/8/1 00:10:00
634000,635000,634000,640000,13094,1397/8/2 00:10:00
634999,634999,634000,635000,897,1397/8/3 00:10:00
603512,603511,603510,603529,25144,1397/8/6 00:10:00
614915,615000,610000,625000,19200,1397/8/7 00:10:00
627950,630000,624989,632996,54888,1397/8/8 00:10:00
630010,633003,630010,661000,6712,1397/8/10 00:11:00
638000,638000,637995,638000,1712,1397/8/13 00:11:00
630555,635200,606100,636000,39617,1397/8/14 00:11:00
632801,635012,630643,638000,37284,1397/8/15 00:11:00
635000,641530,635000,648994,18621,1397/8/16 00:11:00
641530,642000,641220,645000,53416,1397/8/20 00:11:00
650000,651800,650000,655555,49760,1397/8/21 00:11:00
651800,650014,650012,651989,8059,1397/8/22 00:11:00
650000,652590,650000,652999,177,1397/8/23 00:11:00
652000,652000,650100,652500,60273,1397/8/24 00:11:00
651500,651000,643001,651500,18051,1397/8/27 00:11:00
651000,643002,642753,651000,2941,1397/8/28 00:11:00
643003,645000,639930,645000,78427,1397/8/29 00:11:00
643977,649092,643976,649395,59511,1397/8/30 00:11:00
652000,653549,652000,653880,1500,1397/9/1 00:11:00
652300,651006,651006,655799,1502,1397/9/4 00:11:00
653500,653999,652999,653999,24922,1397/9/6 00:11:00
655918,654016,654000,655918,3050,1397/9/7 00:11:00
654600,658609,654600,658609,7106,1397/9/8 00:11:00
658000,658053,657024,659470,3367,1397/9/11 00:12:00
658006,658107,658006,658300,34417,1397/9/12 00:12:00
660998,658205,658110,660998,26005,1397/9/13 00:12:00
659999,658984,658497,659999,17592,1397/9/14 00:12:00
659509,662997,659000,663000,29313,1397/9/15 00:12:00
660755,661511,660755,663000,13794,1397/9/18 00:12:00
661559,665300,661559,665300,32626,1397/9/19 00:12:00
666999,669450,666998,669450,7890,1397/9/20 00:12:00
670003,678000,670000,694763,24160,1397/9/22 00:12:00
678000,681999,677600,681999,16859,1397/9/25 00:12:00
686475,691999,682501,694765,15376,1397/9/26 00:12:00
695000,693000,692000,695997,30416,1397/9/27 00:12:00
694000,694999,693000,695000,12743,1397/9/28 00:12:00
695000,693001,693001,697998,1710,1397/9/29 00:12:00
707899,690999,690000,707899,7247,1397/10/2 00:12:00
690500,689000,688998,692222,14849,1397/10/3 00:12:00
693977,690140,690120,693977,20475,1397/10/4 00:12:00
697000,696900,691150,697000,6746,1397/10/5 00:12:00
696898,694005,694002,696898,16841,1397/10/6 00:12:00
696996,694500,691210,696996,6439,1397/10/9 00:12:00
696000,695000,691210,696000,73003,1397/10/10 00:12:00
694570,698041,694570,698041,21758,1397/10/11 00:01:00
697150,702500,697150,706800,11126,1397/10/12 00:01:00
706498,715000,706000,715000,35493,1397/10/13 00:01:00
703801,716600,703801,717900,2691,1397/10/16 00:01:00
725000,720502,718200,725000,14117,1397/10/17 00:01:00
724999,718000,714009,724999,36583,1397/10/18 00:01:00
715030,718400,715003,718400,46194,1397/10/19 00:01:00
716000,716500,715999,717000,16770,1397/10/20 00:01:00
716500,716050,715501,717880,51219,1397/10/23 00:01:00
716009,713400,713100,716050,85564,1397/10/24 00:01:00
713360,710011,710000,714000,27680,1397/10/25 00:01:00
700001,711001,700001,714500,24609,1397/10/26 00:01:00
707000,710000,707000,712000,26347,1397/10/27 00:01:00
707813,702810,700650,710000,21403,1397/10/30 00:01:00
702000,705038,701950,709998,36182,1397/11/1 00:01:00
705000,703616,703615,707789,48233,1397/11/2 00:01:00
701828,704999,701828,704999,8445,1397/11/3 00:01:00
701802,704000,701802,706500,15859,1397/11/4 00:01:00
704011,709789,703800,709988,71809,1397/11/7 00:01:00
709001,714982,706500,715000,118176,1397/11/8 00:01:00
712899,713999,710000,714986,50056,1397/11/9 00:01:00
711008,713000,710000,713000,42564,1397/11/10 00:01:00
713998,711499,709025,713998,138713,1397/11/11 00:01:00
712000,712501,711154,712800,52640,1397/11/14 00:02:00
712000,709390,709002,712300,90214,1397/11/15 00:02:00
709100,713010,708500,713500,49258,1397/11/16 00:02:00
713000,713689,712000,714000,13061,1397/11/17 00:02:00
712600,714800,712600,715400,57863,1397/11/18 00:02:00
717000,715000,714480,717000,77304,1397/11/22 00:02:00
714115,713210,712250,716001,53571,1397/11/24 00:02:00
714999,715499,714206,716000,64582,1397/11/25 00:02:00
714986,715000,714503,715899,104365,1397/11/28 00:02:00
714000,715800,714000,716000,20745,1397/11/29 00:02:00
715000,714556,714115,715770,89061,1397/11/30 00:02:00
715498,716000,713004,716000,139712,1397/12/1 00:02:00
716000,714020,713002,716000,40105,1397/12/2 00:02:00
713002,714469,711500,714470,119535,1397/12/5 00:02:00
711510,714300,710266,714999,146092,1397/12/6 00:02:00
712000,714955,712000,716058,69854,1397/12/7 00:02:00
715000,718000,713810,718000,87038,1397/12/8 00:02:00
713701,716400,713701,717754,95446,1397/12/9 00:02:00
715100,715910,715100,717400,42118,1397/12/12 00:03:00
715001,717000,715001,717000,83231,1397/12/13 00:03:00
717000,717800,710000,717899,138948,1397/12/14 00:03:00
716700,717000,716700,717997,138664,1397/12/15 00:03:00
718000,719998,717500,719999,221397,1397/12/16 00:03:00
717000,718999,716000,719400,85028,1397/12/19 00:03:00
719300,718705,717503,719498,147086,1397/12/20 00:03:00
717800,719031,717700,720000,30099,1397/12/21 00:03:00
717300,718500,717300,718500,55308,1397/12/22 00:03:00
718500,719000,718500,720000,308598,1397/12/23 00:03:00
715000,720000,715000,720000,122325,1397/12/26 00:03:00
718000,720000,710000,721327,180589,1397/12/27 00:03:00
718056,722001,710000,722999,223157,1397/12/28 00:03:00
722002,725000,722002,725999,16601,1397/12/29 00:03:00
726000,725000,721376,726000,56024,1398/1/6 00:03:00
726000,725156,724000,726000,43522,1398/1/7 00:03:00
725500,726000,725500,726900,13133,1398/1/8 00:03:00
728300,728000,727000,729999,37499,1398/1/11 00:03:00
728704,730000,728010,732988,18565,1398/1/12 00:04:00
730000,735499,730000,735500,32208,1398/1/18 00:04:00
730000,732102,730000,736656,47223,1398/1/19 00:04:00
730303,740000,730000,740000,106080,1398/1/20 00:04:00
735222,740000,734654,744000,59146,1398/1/21 00:04:00
739000,742000,737144,745000,71368,1398/1/22 00:04:00
740100,742500,740100,743999,100043,1398/1/25 00:04:00
741000,741000,741000,742000,87870,1398/1/26 00:04:00
735000,740717,735000,743000,48618,1398/1/27 00:04:00
740800,740712,739100,741994,98242,1398/1/28 00:04:00
735150,737511,735150,740000,101228,1398/1/29 00:04:00
733840,737201,733840,740000,127815,1398/2/1 00:04:00
735100,736501,733202,738700,56151,1398/2/3 00:04:00
733550,720000,720000,739994,74373,1398/2/4 00:04:00
730800,729000,728300,730800,74278,1398/2/5 00:04:00
721000,728764,721000,730000,264348,1398/2/8 00:04:00
718100,729000,718100,730000,241674,1398/2/9 00:04:00
729176,732000,729176,732000,130224,1398/2/10 00:04:00
732000,732401,732000,733000,61774,1398/2/11 00:05:00
734000,732500,728994,735199,134466,1398/2/12 00:05:00
730601,733102,730055,733600,159203,1398/2/15 00:05:00
730000,735000,730000,735000,103962,1398/2/16 00:05:00
732020,733200,732020,738000,206586,1398/2/17 00:05:00
731260,738000,731260,738999,121798,1398/2/18 00:05:00
735079,739500,735079,742000,114253,1398/2/19 00:05:00
737500,739978,736002,739978,97738,1398/2/22 00:05:00
738800,738116,737201,739000,168252,1398/2/23 00:05:00
738100,738218,737072,739979,76489,1398/2/24 00:05:00
739500,741000,738300,741010,71139,1398/2/25 00:05:00
740000,742870,740000,742948,39222,1398/2/26 00:05:00
741501,741502,741501,743898,24806,1398/2/29 00:05:00
741503,741601,740051,742500,136513,1398/2/30 00:05:00
741601,743289,740253,743289,135793,1398/2/31 00:05:00
742639,743000,741505,745000,76215,1398/3/1 00:05:00
742521,743101,742521,744299,264410,1398/3/2 00:05:00
744000,744000,743110,744499,151254,1398/3/5 00:05:00
740603,746899,740603,746899,109252,1398/3/6 00:05:00
745500,746001,743688,747500,155430,1398/3/8 00:05:00
745990,747021,745501,750000,118995,1398/3/9 00:05:00
747534,749000,747534,750896,95488,1398/3/12 00:06:00
748898,753001,748620,753500,92977,1398/3/13 00:06:00
748509,756015,748500,759999,90345,1398/3/14 00:06:00
760000,758200,754020,760000,60275,1398/3/19 00:06:00
757999,772000,757603,775671,50149,1398/3/20 00:06:00
773000,763661,763500,773000,46541,1398/3/21 00:06:00
764255,761899,761899,766988,77928,1398/3/22 00:06:00
761015,764207,761014,770000,162880,1398/3/23 00:06:00
764600,764499,759003,765000,154377,1398/3/26 00:06:00
760000,762510,760000,770000,95752,1398/3/27 00:06:00
762511,766100,762511,771999,46740,1398/3/28 00:06:00
765500,765400,762000,772000,124785,1398/3/29 00:06:00
763211,770001,763211,772500,61864,1398/3/30 00:06:00
772380,771000,763000,772390,227627,1398/4/2 00:06:00
770599,772900,763811,775000,171533,1398/4/3 00:06:00
768023,768099,768000,769888,98212,1398/4/4 00:06:00
768000,776990,762100,777000,114499,1398/4/5 00:06:00
773000,773350,770102,774190,30278,1398/4/6 00:06:00
777775,773020,773008,777775,111333,1398/4/10 00:07:00
775900,774600,774501,780000,92641,1398/4/11 00:07:00
773010,776000,773010,776399,95408,1398/4/12 00:07:00
776000,779000,774303,779999,73084,1398/4/13 00:07:00
776000,775914,774005,779999,155668,1398/4/16 00:07:00
776148,776508,775017,776900,245506,1398/4/17 00:07:00
776649,776501,776004,778500,124503,1398/4/18 00:07:00
776801,777300,776801,777800,136835,1398/4/19 00:07:00
777500,767000,767000,783990,373476,1398/4/20 00:07:00
776000,774000,770140,779000,184365,1398/4/23 00:07:00
773370,779000,771307,780000,150917,1398/4/24 00:07:00
773000,777000,773000,779400,68332,1398/4/25 00:07:00
774044,777500,774043,779331,72587,1398/4/26 00:07:00
775000,776500,775000,779800,153870,1398/4/27 00:07:00
774501,778000,774000,778000,219031,1398/4/30 00:07:00
775775,777100,775775,777775,105785,1398/4/31 00:07:00
776700,778001,776620,780000,153837,1398/5/1 00:07:00
778050,778013,776100,779999,81758,1398/5/2 00:07:00
777191,782003,777001,785000,73553,1398/5/3 00:07:00
779200,777600,768233,781900,75084,1398/5/6 00:07:00
773444,776999,771603,777401,332646,1398/5/7 00:07:00
775000,776001,773002,777400,153350,1398/5/8 00:07:00
776600,777500,775501,778900,84381,1398/5/9 00:07:00
777800,781151,777106,785000,127850,1398/5/10 00:08:00
779002,782001,779002,788000,124250,1398/5/13 00:08:00
778106,782400,778105,785900,96378,1398/5/14 00:08:00
780603,782500,780603,784900,78670,1398/5/15 00:08:00
783999,787500,782128,790435,229946,1398/5/16 00:08:00
783529,789890,783529,789890,86740,1398/5/17 00:08:00
784100,785011,782779,791000,165282,1398/5/20 00:08:00
790100,792800,790100,793748,81611,1398/5/21 00:08:00
786010,792494,786010,792800,197017,1398/5/23 00:08:00
789506,791500,789506,792500,255362,1398/5/24 00:08:00
797979,794003,791000,797979,237334,1398/5/27 00:08:00
792617,793921,792583,794500,208554,1398/5/28 00:08:00
793945,795601,793945,799000,214959,1398/5/29 00:08:00
795004,797000,795004,797300,116208,1398/5/31 00:08:00
796000,797002,795009,797500,214520,1398/6/3 00:08:00
795014,798201,795014,800000,169773,1398/6/4 00:08:00
798700,801000,798407,801000,189100,1398/6/5 00:08:00
799000,800701,799000,801000,281687,1398/6/6 00:08:00
800043,804400,800043,804999,446706,1398/6/7 00:08:00
802000,805500,801451,806000,182372,1398/6/10 00:09:00
803903,805010,803903,805500,533219,1398/6/11 00:09:00
804999,807000,804999,807700,254505,1398/6/12 00:09:00
805000,806100,803316,806601,279138,1398/6/13 00:09:00
805639,807500,805243,808900,162234,1398/6/14 00:09:00
807001,806006,804010,807900,291874,1398/6/17 00:09:00
807002,808601,807002,810000,456263,1398/6/18 00:09:00
809000,809409,808303,811000,261494,1398/6/21 00:09:00
809000,812000,808999,812501,352806,1398/6/24 00:09:00
812000,813013,811500,813013,291188,1398/6/25 00:09:00
810901,814000,810901,814001,170093,1398/6/26 00:09:00
814000,816180,800525,816900,180756,1398/6/27 00:09:00
816001,818100,816001,818400,149288,1398/6/28 00:09:00
817798,819399,817000,819578,192921,1398/6/31 00:09:00
816002,819022,816002,819700,291615,1398/7/1 00:09:00
819120,819500,818121,819998,335496,1398/7/2 00:09:00
819205,820054,818000,820490,163142,1398/7/3 00:09:00
820055,826000,810503,827000,112951,1398/7/4 00:09:00
822267,823500,820003,823500,218834,1398/7/7 00:09:00
822102,824390,822006,824499,371110,1398/7/8 00:09:00
824500,825000,821000,828400,281714,1398/7/9 00:10:00
824220,826200,824201,826991,202918,1398/7/10 00:10:00
824155,828500,824155,828500,166799,1398/7/11 00:10:00
826155,828700,825007,829000,319199,1398/7/14 00:10:00
828000,830000,828000,830001,222705,1398/7/15 00:10:00
828000,831001,828000,831200,183814,1398/7/16 00:10:00
831000,833000,830702,833000,144209,1398/7/17 00:10:00
831000,833001,831000,834000,317423,1398/7/18 00:10:00
832980,833501,832500,833504,286186,1398/7/21 00:10:00
831542,834000,831542,834498,126349,1398/7/22 00:10:00
828016,835600,828016,835900,319583,1398/7/23 00:10:00
833170,837001,833170,837001,189202,1398/7/24 00:10:00
836073,837200,835051,838000,131859,1398/7/25 00:10:00
835101,837000,835101,837999,254161,1398/7/29 00:10:00
837000,837500,835063,838482,227148,1398/7/30 00:10:00
838400,837000,836000,838400,152383,1398/8/1 00:10:00
835051,838000,835051,838300,154668,1398/8/2 00:10:00
836456,838811,836456,839000,117693,1398/8/5 00:10:00
836667,839250,836667,839300,136400,1398/8/7 00:10:00
839000,839114,839000,843500,230954,1398/8/9 00:10:00
840101,842300,840101,842470,208748,1398/8/12 00:11:00
842500,843500,841401,843501,114135,1398/8/13 00:11:00
841155,843300,841155,843502,123340,1398/8/14 00:11:00
843000,844001,843000,844700,100460,1398/8/15 00:11:00
843100,844300,843100,844989,589388,1398/8/19 00:11:00
844499,845001,844154,846500,112230,1398/8/20 00:11:00
844110,845500,844110,845500,101487,1398/8/21 00:11:00
845003,848000,845003,855000,117865,1398/8/22 00:11:00
847001,847279,846900,847500,60423,1398/8/23 00:11:00
847680,847500,845001,847680,85978,1398/8/26 00:11:00
839012,846825,839012,847555,164612,1398/8/27 00:11:00
845000,847026,844530,847500,197766,1398/8/28 00:11:00
847000,849500,845203,850000,113068,1398/8/29 00:11:00
847000,849651,842021,851000,301745,1398/8/30 00:11:00
848000,850505,848000,851000,108987,1398/9/3 00:11:00
848501,850904,848501,851600,106449,1398/9/4 00:11:00
850091,850759,850091,851987,111625,1398/9/5 00:11:00
850426,851119,850425,851900,207294,1398/9/6 00:11:00
850000,851725,839809,852200,94299,1398/9/7 00:11:00
850012,851660,850012,852050,171577,1398/9/10 00:12:00
850057,851844,850057,852000,140723,1398/9/11 00:12:00
844002,852501,844002,852900,94902,1398/9/12 00:12:00
852601,852590,850639,852950,192902,1398/9/13 00:12:00
853000,853000,852601,853299,465618,1398/9/14 00:12:00
853300,855000,835170,855990,169533,1398/9/17 00:12:00
854480,856000,853000,856666,216648,1398/9/18 00:12:00
850146,859899,850146,859899,124618,1398/9/19 00:12:00
841034,857000,841034,857600,74431,1398/9/20 00:12:00
855150,858000,851000,858348,72048,1398/9/21 00:12:00
856000,859000,850028,859000,142525,1398/9/24 00:12:00
856009,863000,856007,865000,97038,1398/9/25 00:12:00
860000,858500,856045,860000,106501,1398/9/26 00:12:00
857003,858800,857003,858800,61261,1398/9/27 00:12:00
858000,859100,857212,861499,65608,1398/9/28 00:12:00
859000,859206,856141,860000,161997,1398/10/1 00:12:00
859501,861001,859130,862999,101125,1398/10/2 00:12:00
861999,861300,860815,862392,267971,1398/10/3 00:12:00
861250,862304,861203,863000,313149,1398/10/4 00:12:00
862100,863710,862100,864399,42934,1398/10/5 00:12:00
859388,864503,859388,865000,110030,1398/10/8 00:12:00
864001,865000,862500,866000,96928,1398/10/9 00:12:00
862507,864999,862501,864999,63311,1398/10/10 00:12:00
863693,864600,863693,865000,158647,1398/10/11 00:01:00
864900,864734,864731,867000,88915,1398/10/12 00:01:00
866000,863111,860000,867600,97892,1398/10/15 00:01:00
864500,867000,864500,872000,255632,1398/10/16 00:01:00
866007,868200,866000,873500,159934,1398/10/18 00:01:00
864000,870010,864000,870010,116884,1398/10/19 00:01:00
870001,874300,870001,874569,65283,1398/10/22 00:01:00
870355,871000,870000,872390,126984,1398/10/23 00:01:00
871035,875001,871035,914000,106783,1398/10/24 00:01:00
874001,879489,872002,879500,120010,1398/10/25 00:01:00
876010,879100,875367,880000,94808,1398/10/26 00:01:00
878001,877003,876039,879000,52935,1398/10/29 00:01:00
878151,878001,877002,878870,45606,1398/10/30 00:01:00
